城市,区,地铁站点数,人均可支配收入（元）,聚类种类
伊春市,汤旺县,0,,类别4
伊春市,丰林县,0,,类别4
伊春市,大箐山县,0,,类别4
伊春市,南岔县,0,,类别4
伊春市,金林区,0,,类别4
伊春市,铁力市,0,,类别4
佳木斯市,向阳区,0,,类别4
佳木斯市,前进区,0,,类别4
佳木斯市,东风区,0,,类别4
佳木斯市,郊区,0,,类别4
佳木斯市,桦南县,0,,类别4
佳木斯市,桦川县,0,,类别4
佳木斯市,汤原县,0,,类别4
佳木斯市,同江市,0,,类别4
佳木斯市,富锦市,0,,类别4
佳木斯市,抚远市,0,,类别4
七台河市,新兴区,0,,类别4
七台河市,桃山区,0,,类别4
七台河市,茄子河区,0,,类别4
七台河市,勃利县,0,,类别4
牡丹江市,东安区,0,,类别4
